Rank,Título,Ano,Nota,Duração,Diretor
112,O Fabuloso Destino de Amélie Poulain,2001,"8,3",2h 2m,Jean-Pierre Jeunet
113,A Separação,2011,"8,3",2h 3m,Asghar Farhadi
114,O Sol é para Todos,1962,"8,3",2h 9m,Robert Mulligan
115,Laranja Mecânica,1971,"8,2",2h 16m,Stanley Kubrick
116,Como Estrelas na Terra,2007,"8,3",2h 42m,Aamir Khan
117,Duro de Matar,1988,"8,2",2h 12m,John McTiernan
118,Golpe de Mestre,1973,"8,2",2h 9m,George Roy Hill
119,Indiana Jones e a Última Cruzada,1989,"8,2",2h 7m,Steven Spielberg
120,Oppenheimer,2023,"8,3",3h,Christopher Nolan
121,Metrópolis,1927,"8,3",2h 33m,Fritz Lang
122,Snatch - Porcos e Diamantes,2000,"8,2",1h 44m,Guy Ritchie
123,1917,2019,"8,2",1h 59m,Sam Mendes
124,Los Angeles: Cidade Proibida,1997,"8,2",2h 18m,Curtis Hanson
125,Ladrões de Bicicletas,1948,"8,2",1h 29m,Vittorio De Sica
126,A Queda! As Últimas Horas de Hitler,2004,"8,2",2h 36m,Oliver Hirschbiegel
127,Dangal,2016,"8,3",2h 41m,Nitesh Tiwari
128,O Lobo de Wall Street,2013,"8,2",3h,Martin Scorsese
129,Hamilton,2020,"8,3",2h 40m,Thomas Kail
130,Taxi Driver: Motorista de Táxi,1976,"8,2",1h 54m,Martin Scorsese
131,Green Book: O Guia,2018,"8,2",2h 10m,Peter Farrelly
132,Batman Begins,2005,"8,2",2h 20m,Christopher Nolan
133,Por uns Dólares a Mais,1965,"8,2",2h 12m,Sergio Leone
134,O Show de Truman: O Show da Vida,1998,"8,2",1h 43m,Peter Weir
135,Julgamento em Nuremberg,1961,"8,3",2h 59m,Stanley Kramer
136,Quanto Mais Quente Melhor,1959,"8,2",2h 1m,Billy Wilder
137,Ilha do Medo,2010,"8,2",2h 18m,Martin Scorsese
138,O Garoto,1921,"8,2",1h 8m,Charles Chaplin
139,Meu Pai,2020,"8,2",1h 37m,Florian Zeller
140,A Malvada,1950,"8,2",2h 18m,Joseph L. Mankiewicz
141,Jurassic Park: O Parque dos Dinossauros,1993,"8,2",2h 7m,Steven Spielberg
142,Sangue Negro,2007,"8,2",2h 38m,Paul Thomas Anderson
143,O Sexto Sentido,1999,"8,2",1h 47m,M. Night Shyamalan
144,Cassino,1995,"8,2",2h 58m,Martin Scorsese
145,Ran,1985,"8,2",2h 40m,Akira Kurosawa
146,Top Gun: Maverick,2022,"8,2",2h 10m,Joseph Kosinski
147,Onde os Fracos Não Têm Vez,2007,"8,2",2h 2m,"Ethan Coen, Joel Coen"
148,O Enigma de Outro Mundo,1982,"8,2",1h 49m,John Carpenter
149,O Labirinto do Fauno,2006,"8,2",1h 58m,Guillermo del Toro
150,Os Imperdoáveis,1992,"8,2",2h 10m,Clint Eastwood
151,Uma Mente Brilhante,2001,"8,2",2h 15m,Ron Howard
152,Kill Bill: Volume 1,2003,"8,2",1h 51m,Quentin Tarantino
153,O Tesouro da Sierra Madre,1948,"8,2",2h 6m,John Huston
154,Os Suspeitos,2013,"8,2",2h 33m,Denis Villeneuve
155,"Yojimbo, o Guarda-Costas",1961,"8,2",1h 50m,Akira Kurosawa
156,Procurando Nemo,2003,"8,2",1h 40m,"Andrew Stanton, Lee Unkrich"
157,O Castelo Animado,2004,"8,2",1h 59m,Hayao Miyazaki
158,Fugindo do Inferno,1963,"8,2",2h 52m,John Sturges
159,Monty Python em Busca do Cálice Sagrado,1975,"8,2",1h 31m,"Terry Gilliam, Terry Jones"
160,O Homem Elefante,1980,"8,2",2h 4m,David Lynch
161,Disque M para Matar,1954,"8,2",1h 45m,Alfred Hitchcock
162,Klaus,2019,"8,2",1h 36m,"Sergio Pablos, Carlos Martínez López"
163,...E o Vento Levou,1939,"8,2",3h 58m,Victor Fleming
164,Rashomon,1950,"8,2",1h 28m,Akira Kurosawa
